              16: 0x8000
             255: 0x8001
             126: 0x8002
           32767: 0x8003
           57337: 0x8004
           23622: 0x8005
            1533: 0x8006
           57337: 0x8007
              60: 0x8008
              63: 0x8009
             254: 0x800a
           16383: 0x800b
            7161: 0x800c
           59055: 0x800d
           19685: 0x800e
           31620: 0x800f
           16383: 0x8010
            4340: 0x8011
            1023: 0x8012
           57337: 0x8013
           10230: 0x8014
           21845: 0x8015
           65535: 0x8016 OK --> x^16 + x^14 + x^13 + x^11 + 1
             534: 0x8017
           32767: 0x8018
           16383: 0x8019
           57337: 0x801a
           10230: 0x801b
           65535: 0x801c OK --> x^16 + x^13 + x^12 + x^11 + 1
           32767: 0x801d
            7140: 0x801e
           65535: 0x801f OK --> x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + 1
             434: 0x8020
           24573: 0x8021
              84: 0x8022
           21845: 0x8023
           32767: 0x8024
           21483: 0x8025
            5115: 0x8026
           28658: 0x8027
             186: 0x8028
           65535: 0x8029 OK --> x^16 + x^15 + x^12 + x^10 + 1
             434: 0x802a
            4095: 0x802b
           21483: 0x802c
            4572: 0x802d
            1335: 0x802e
            5115: 0x802f
             595: 0x8030
           64897: 0x8031
           64897: 0x8032
           12264: 0x8033
           16383: 0x8034
           32767: 0x8035
            1246: 0x8036
             255: 0x8037
           63457: 0x8038
            4526: 0x8039
           24573: 0x803a
           63457: 0x803b
           32004: 0x803c
             420: 0x803d
             255: 0x803e
           30705: 0x803f
           63457: 0x8040
           32766: 0x8041
            3255: 0x8042
            2730: 0x8043
            1260: 0x8044
             255: 0x8045
           13107: 0x8046
            1023: 0x8047
            4681: 0x8048
           57337: 0x8049
            5355: 0x804a
           32004: 0x804b
             455: 0x804c
           24573: 0x804d
           32766: 0x804e
            8001: 0x804f
           10922: 0x8050
           47523: 0x8051
           21483: 0x8052
           10235: 0x8053
           57337: 0x8054
            7112: 0x8055
            6132: 0x8056
           59055: 0x8057
           42987: 0x8058
           32767: 0x8059
           32764: 0x805a
             195: 0x805b
            1023: 0x805c
           64897: 0x805d
           65535: 0x805e OK --> x^16 + x^14 + x^13 + x^12 + x^11 + x^9 + 1
            3066: 0x805f
            1581: 0x8060
           57337: 0x8061
           59055: 0x8062
           10922: 0x8063
            3069: 0x8064
            1022: 0x8065
           16376: 0x8066
           47523: 0x8067
           64897: 0x8068
            1860: 0x8069
           32767: 0x806a
           65535: 0x806b OK --> x^16 + x^15 + x^14 + x^12 + x^10 + x^9 + 1
           28658: 0x806c
             585: 0x806d
           42987: 0x806e
            4599: 0x806f
            1365: 0x8070
           30705: 0x8071
             510: 0x8072
            2667: 0x8073
           32385: 0x8074
             357: 0x8075
           57337: 0x8076
           16380: 0x8077
           28644: 0x8078
             255: 0x8079
           21845: 0x807a
            5334: 0x807b
            8190: 0x807c
           10922: 0x807d
             341: 0x807e
           63457: 0x807f
              24: 0x8080
            4681: 0x8081
             254: 0x8082
            4095: 0x8083
            4681: 0x8084
            8001: 0x8085
            8001: 0x8086
           24564: 0x8087
              28: 0x8088
           16383: 0x8089
              30: 0x808a
              31: 0x808b
            7161: 0x808c
           28658: 0x808d
           24573: 0x808e
            1953: 0x808f
            1785: 0x8090
           64897: 0x8091
            1869: 0x8092
             330: 0x8093
           21845: 0x8094
            3810: 0x8095
           32764: 0x8096
           65535: 0x8097 OK --> x^16 + x^15 + x^14 + x^13 + x^11 + x^8 + 1
           64897: 0x8098
            5208: 0x8099
           32767: 0x809a
           42987: 0x809b
           23622: 0x809c
           13107: 0x809d
           65535: 0x809e OK --> x^16 + x^14 + x^13 + x^12 + x^11 + x^8 + 1
           27559: 0x809f
             254: 0x80a0
            7665: 0x80a1
             102: 0x80a2
           24573: 0x80a3
           16383: 0x80a4
           30660: 0x80a5
             273: 0x80a6
           65535: 0x80a7 OK --> x^16 + x^15 + x^14 + x^13 + x^10 + x^8 + 1
             510: 0x80a8
            4599: 0x80a9
             168: 0x80aa
            2555: 0x80ab
           32767: 0x80ac
           16383: 0x80ad
           65535: 0x80ae OK --> x^16 + x^14 + x^13 + x^12 + x^10 + x^8 + 1
           10922: 0x80af
           63457: 0x80b0
            3066: 0x80b1
           32767: 0x80b2
           63457: 0x80b3
           10220: 0x80b4
           21483: 0x80b5
             465: 0x80b6
            4095: 0x80b7
            1095: 0x80b8
           21845: 0x80b9
           21845: 0x80ba
           16380: 0x80bb
             217: 0x80bc
           32767: 0x80bd
           32766: 0x80be
             126: 0x80bf
           32767: 0x80c0
            8190: 0x80c1
           63457: 0x80c2
            3556: 0x80c3
           64897: 0x80c4
           30705: 0x80c5
           23622: 0x80c6
           21845: 0x80c7
           13335: 0x80c8
           32766: 0x80c9
           32767: 0x80ca
           65535: 0x80cb OK --> x^16 + x^15 + x^14 + x^12 + x^9 + x^8 + 1
           15624: 0x80cc
             713: 0x80cd
           57337: 0x80ce
            7665: 0x80cf
           65535: 0x80d0 OK --> x^16 + x^11 + x^9 + x^8 + 1
           32767: 0x80d1
            2108: 0x80d2
           47523: 0x80d3
            3570: 0x80d4
           57337: 0x80d5
           65535: 0x80d6 OK --> x^16 + x^14 + x^13 + x^11 + x^9 + x^8 + 1
            3410: 0x80d7
           10710: 0x80d8
           14322: 0x80d9
            5355: 0x80da
            1533: 0x80db
             255: 0x80dc
            4092: 0x80dd
             455: 0x80de
           65535: 0x80df OK --> x^16 + x^15 + x^14 + x^13 + x^12 + x^11 + x^9 + x^8 + 1
           57337: 0x80e0
           32764: 0x80e1
            8001: 0x80e2
           65535: 0x80e3 OK --> x^16 + x^15 + x^14 + x^10 + x^9 + x^8 + 1
            3906: 0x80e4
            6789: 0x80e5
           13107: 0x80e6
            4599: 0x80e7
           32767: 0x80e8
             255: 0x80e9
            4369: 0x80ea
